station_id,name,address,evcs_mode_1,charging_protocol_1,evcs_mode_2,charging_protocol_2,longitude_latitude_z,longitude,latitude,city,province
evcs0001,SM Center Tuguegarao Downtown,"Luna St. Corner Mabini St., Sm Center Tuguegarao Downtown, 2nd Level Carpark, Ugac Sur, Tuguegarao City, Cagayan",Mode 3 (AC),Type 2,,,"17.6126551,121.7225617,19z",17.6126551,121.7225617,Tuguegarao City, Cagayan
evcs0002,ACMobility EV Charging Hub - INEC,"Agua Grande Mini Hydro Power Plant, Gf, Pancian, Pagudpud, Ilocos Norte",Mode 4 (DC),CCS Combo 2,,,"16.5953162,118.0683128,7z",16.5953162,118.0683128,Pagudpud, Ilocos Norte
evcs0003,SM City Laoag,"Ground Floor, Open Parking A, Bgy. No. 51-B, Nangalisan West, Laoag City, Ilocos Norte",Mode 3 (AC),Type 2,,,"16.3987723,119.3906049,8z",16.3987723,119.3906049,Laoag City, Ilocos Norte
evcs0004,ACMobility EV Charging Hub - Robinsons Place (Ilocos),"Gf, San Francisco (Pob.), San Nicolas, Ilocos Norte",Mode 3 (AC),Type 2,,,"16.3952847,119.3906049,8z",16.3952847,119.3906049,San Nicolas, Ilocos Norte
evcs0005,SM City Tuguegarao,"Bagay Road, Sm City Tuguegarao, Ground Floor, Open Parking E, Caritan Norte, Tuguegarao City, Cagayan",Mode 3 (AC),Type 2,,,"16.119538,119.8242208,8z",16.119538,119.8242208,Tuguegarao City, Cagayan
evcs0006,ACMobility EV Charging Hub - Robinsons Place (Tuguegarao),"Maharlika Highway, Gf, Tanza, Tuguegarao City, Cagayan",Mode 3 (AC),Type 2,,,"16.1192186,119.8303874,8z",16.1192186,119.8303874,Tuguegarao City, Cagayan
evcs0007,Solarius EV Charging - La Casa Blanca De Vigan Hotel,"Calle Crisologo, Basement Parking Area, Barangay V (Pob.), Vigan City, Ilocos Sur",Mode 3 (AC),Type 2,,,"16.1011085,119.3906023,8z",16.1011085,119.3906023,Vigan City, Ilocos Sur
evcs0008,Solarius EV Charging - Tampco Inn,"Tampco Inn Tampco, Provincial Road, Tampco Inn-Ground Floor, Appas, Tabuk City, Kalinga",Mode 3 (AC),Type 2,,,"16.0319363,119.7956537,8z",16.0319363,119.7956537,Tabuk City, Kalinga
evcs0009,Solarius EV Charging - Ilagan City Hotel,"B4 L18 Cityhomes SubdivisionAh26, Ground Floor, Alibagu, Ilagan City, Isabela",Mode 3 (AC),Type 2,,,"15.855557,119.8945241,8z",15.855557,119.8945241,Ilagan City, Isabela
evcs0010,Solarius EV Charging - Shop N' Go,"Ground Floor Beside Restaurant, Guibang, Gamu, Isabela",Mode 3 (AC),Type 2,,,"15.832304,119.8945239,8z",15.832304,119.8945239,Gamu, Isabela
evcs0011,SM City Cauayan,"Sm City Cauayan, Ground Floor, Open Parking A, District Ii (Pob.), Cauayan City, Isabela",Mode 3 (AC),Type 2,,,"15.773951,119.8480805,8z",15.773951,119.8480805,Cauayan City, Isabela
evcs0012,Solarius EV Charging - Casa Maria's BnB & Garden Cafe,"Ground Floor Beside Tennis Court, San Fabian, Echague, Isabela",Mode 3 (AC),Type 2,,,"15.6637012,119.8067769,8z",15.6637012,119.8067769,Echague, Isabela
evcs0013,ACMobility EV Charging Hub - Robinsons Place (Santiago),"3311 Avenue, Gf, Mabini, City Of Santiago, Isabela",Mode 3 (AC),Type 2,,,"15.6614032,119.7442644,8z",15.6614032,119.7442644,Santiago City, Isabela
evcs0014,ACMobility EV Charging Hub - Zen Hotel Santiago,"Maharlika Highway, Gf, Villasis, City Of Santiago, Isabela",Mode 3 (AC),Type 2,,,"15.6529306,119.7405342,8z",15.6529306,119.7405342,Santiago City, Isabela
evcs0015,ACMobility EV Charging Hub - 3K Hotel by Zen,"Maharlika Highway, Gf, Malvar, City Of Santiago, Isabela",Mode 3 (AC),Type 2,,,"15.6520724,119.7400694,8z",15.6520724,119.7400694,Santiago City, Isabela
evcs0016,Solarius EV Charging - Awesome Hotel,"Montemar Village Eagle Street, Ground Floor Parking Area, Ili Norte (Pob.), San Juan, La Union",Mode 3 (AC),Type 2,,,"15.6450416,119.390601,8z",15.6450416,119.390601,San Juan, La Union
evcs0017,Solarius EV Charging - Kahuna Beach Resort and Spa,"Urbiztondo National Highway, Ground Floor, Urbiztondo, San Juan, La Union",Mode 3 (AC),Type 2,,,"15.6346544,119.3860673,8z",15.6346544,119.3860673,San Juan, La Union
evcs0018,SM City La Union,"Diversion Road, Ground Floor, Open Parking B, Biday, City Of San Fernando, La Union",Mode 3 (AC),Type 2,,,"15.6181277,119.3906008,8z",15.6181277,119.3906008,San Fernando City, La Union
evcs0019,Solarius EV Charging - Bersantai La Union Beach Resort,"Purok 7 Munar Residence Road, Ground Floor, Parking Lot, San Francisco, City Of San Fernando, La Union",Mode 3 (AC),Type 2,,,"15.6077431,119.3814841,8z",15.6077431,119.3814841,San Fernando City, La Union
evcs0020,ACMobility EV Charging Hub - Robinsons Place (La Union),"Mac Arthur Highway, Gf, Sevilla, City Of San Fernando, La Union",Mode 3 (AC),Type 2,,,"15.6054998,119.3903121,8z",15.6054998,119.3903121,San Fernando City, La Union
evcs0021,Solarius EV Charging - 24/7 Inn,"Maharlika Highway, Ground Floor Parking Area, Bonfal Proper, Bayombong, Nueva Vizcaya",Mode 3 (AC),Type 2,,,"15.562681,120.2121329,9z",15.562681,120.2121329,Bayombong, Nueva Vizcaya
evcs0022,ACMobility EV Charging Hub - Zen Hotel Bayombong,"Gf, Bonfal Proper, Bayombong, Nueva Vizcaya",Mode 3 (AC),Type 2,,,"15.5606363,120.2108567,9z",15.5606363,120.2108567,Bayombong, Nueva Vizcaya
evcs0023,ACMobility EV Charging Hub - Mt. Camisong Forest Park and Events,"Sitio Peday, Gf, Loacan, Itogon, Benguet",Mode 3 (AC),Type 2,,,"15.5266232,120.125016,9z",15.5266232,120.125016,Itogon, Benguet
evcs0024,Addavolt Charging Station hosted by Wright Park Hotel,"Romulo Drive, Basement, Lualhati, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.5164811,120.1250133,9z",15.5164811,120.1250133,Baguio City, Benguet
evcs0025,Solarius EV Charging - SotoGrande Baguio Hotel,"Sotogrande Baguio Hotel Interior Lot 92m From Leonard Wood Road, Ground Floor, Parking Lot No.56, Cabinet Hill-Teacher'S Camp, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.5153796,120.1250133,9z",15.5153796,120.1250133,Baguio City, Benguet
evcs0026,SM City Baguio,"Upper Session, Sm City Baguio, Basement 5, Session Road Area, Baguio City, Benguet",Mode 3 (AC),Type 2,,GB/T AC,"15.5139861,120.1250133,9z",15.5139861,120.1250133,Baguio City, Benguet
evcs0027,Addavolt Charging Station hosted by El Cielito,"Engineer's Hill, 50 North Dr., Engineers' Hill, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.512661,120.1250133,9z",15.512661,120.1250133,Baguio City, Benguet
evcs0028,ACMobility EV Charging Hub - John Hay Golf Club,"John Hay Special Economic Zone,Ordonio Drive, Loakan Road, Gf, Unit 2, Fort Del Pilar, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.5122387,120.1250133,9z",15.5122387,120.1250133,Baguio City, Benguet
evcs0029,ACMobility EV Charging Hub - Baguio Ayala Land Technohub,"Ordonio Drive, Camp John Hay, Loakan Road, Gf (Outdoor Parking) Baguio Ayala Land Technohub, Scout Barrio, Baguio City, Benguet",Mode 3 (AC),Type 2,,GB/T AC,"15.5115093,120.1250133,9z",15.5115093,120.1250133,Baguio City, Benguet
evcs0030,ACMobility EV Charging Hub - John Hay Public Parking,"John Hay Special Economic Zone Ordonio Drive, Loakan Road, Gf, Unit 3, Fort Del Pilar, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.5115093,120.1250133,9z",15.5115093,120.1250133,Baguio City, Benguet
evcs0031,ACMobility EV Charging Hub - John Hay Hotels Garden Wing,"John Hay Special Economic Zone Ordonio Drive, Loakan Road,, Gf, Unit 1, Fort Del Pilar, Baguio City, Benguet",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"15.5115093,120.1250133,9z",15.5115093,120.1250133,Baguio City, Benguet
evcs0032,Addavolt Charging Station hosted by Lafaayette Luxury Suites Baguio,"Military Cut-Off, Basement 1, Military Cut-Off, Baguio City, Benguet",Mode 3 (AC),Type 2,,,"15.5103785,120.1250133,9z",15.5103785,120.1250133,Baguio City, Benguet
evcs0033,ACMobility EV Charging Hub - KIA Dealership Baguio,"5, Marco Highway, Sto Tomas Proper, Gf, Camp 7, Baguio City, Benguet",Mode 3 (AC),Type 2,Mode 4 (DC),CCS Combo 2,"15.5042854,120.1250133,9z",15.5042854,120.1250133,Baguio City, Benguet
evcs0034,Solarius EV Charging - Solarius HQ,"National Highway, Ground Floor Beside Shell Station, San Antonio North, Bambang, Nueva Vizcaya",Mode 3 (AC),Type 2,,,"15.4934261,120.1752507,9z",15.4934261,120.1752507,Bambang, Nueva Vizcaya
