theme,url,img,lines,author
HARD WORK,/inspirational-quotes/8378-doing-the-best-at-this-moment-puts-you-in-the,https://cdn.passiton.com/quotes/images/8378/large_20260715_wednesday_quote.jpg,Doing,the
HARD WORK,/inspirational-quotes/6188-far-and-away-the-best-prize-that-life-offers-is,https://cdn.passiton.com/quotes/images/6188/large_20260714_tuesday_quote.jpg,Far,and
HARD WORK,/inspirational-quotes/3549-if-it-wasnt-hard-everyone-would-do-it-its-the,https://cdn.passiton.com/quotes/images/3549/large_20260713_monday_quote.jpg,If,it
DETERMINATION,/inspirational-quotes/6640-sometimes-there-is-nothing-you-can-do-and-in,https://cdn.passiton.com/quotes/images/6640/large_20260703_friday_quote.jpg,Sometimes,there
DETERMINATION,/inspirational-quotes/7313-i-believe-success-is-achieved-by-ordinary,https://cdn.passiton.com/quotes/images/7313/large_20260702_thursday_quote.jpg,I,believe
DETERMINATION,/inspirational-quotes/6840-keep-your-dreams-alive-understand-to-achieve,https://cdn.passiton.com/quotes/images/6840/large_20260701_wednesday_quote.jpg,Keep,your
DETERMINATION,/inspirational-quotes/3878-the-way-i-see-it-if-you-want-the-rainbow-you,https://cdn.passiton.com/quotes/images/3878/large_20260707_tuesday_quote.jpg,The,way
DETERMINATION,/inspirational-quotes/8448-my-motto-was-always-to-keep-swinging-whether-i,https://cdn.passiton.com/quotes/images/8448/large_20260706_monday_quote.jpg,My,motto
UNITY,/inspirational-quotes/3666-alone-we-can-do-so-little-together-we-can-do,https://cdn.passiton.com/quotes/images/3666/large_20260702_thursday_alternate.jpg,Alone,we
UNITY,/inspirational-quotes/7701-the-things-that-we-share-in-our-world-are-far,https://cdn.passiton.com/quotes/images/7701/large_20260701_wednesday_alternate.jpg,The,things
DETERMINATION,/inspirational-quotes/7058-obstacles-don-t-have-to-stop-you-if-you-run,https://cdn.passiton.com/quotes/images/7058/large_20260630_tuesday_quote.jpg,Obstacles,don’t
DETERMINATION,/inspirational-quotes/3711-the-difference-between-the-impossible-and-the,https://cdn.passiton.com/quotes/images/3711/large_20260629_monday_quote.jpg,The,difference
OPTIMISM,/inspirational-quotes/7858-what-a-wonderful-thought-it-is-that-some-of-the,https://cdn.passiton.com/quotes/images/7858/large_20260626_friday_quote.jpg,What,a
OPTIMISM,/inspirational-quotes/5393-reach-high-for-stars-lie-hidden-in-your-soul,https://cdn.passiton.com/quotes/images/5393/large_20260625_thursday_quote.jpg,Reach,"high,"
OPTIMISM,/inspirational-quotes/5129-those-who-wish-to-sing-always-find-a-song,https://cdn.passiton.com/quotes/images/5129/large_20260624_wednesday_quote.jpg,Those,who
OPTIMISM,/inspirational-quotes/7653-keeping-busy-and-making-optimism-a-way-of-life,https://cdn.passiton.com/quotes/images/7653/large_20260623_tuesday_quote.jpg,Keeping,busy
OPTIMISM,/inspirational-quotes/7017-no-pessimist-ever-discovered-the-secrets-of-the,https://cdn.passiton.com/quotes/images/7017/large_20260622_monday_quote.jpg,No,pessimist
FREEDOM,/inspirational-quotes/8447-from-every-mountainside-let-freedom-ring,https://cdn.passiton.com/quotes/images/8447/large_20260619_friday_quote_alternate.jpg,From,every
FREEDOM,/inspirational-quotes/8441-everyone-has-a-right-to-peaceful-coexistence,https://cdn.passiton.com/quotes/images/8441/large_20260618_thursday_quote.jpg,Everyone,has
FREEDOM,/inspirational-quotes/8387-freedom-is-nothing-but-a-chance-to-be-better,https://cdn.passiton.com/quotes/images/8387/large_20260617_wednesday_quote.jpg,Freedom,is
FREEDOM,/inspirational-quotes/8385-true-patriotism-springs-from-a-belief-in-the,https://cdn.passiton.com/quotes/images/8385/large_20260616_tuesday_quote.jpg,True,patriotism
FREEDOM,/inspirational-quotes/7776-may-we-think-of-freedom-not-as-the-right-to-do,https://cdn.passiton.com/quotes/images/7776/large_20260615_monday_quote.jpg,May,we
OPPORTUNITY,/inspirational-quotes/8472-when-opportunity-knocks-get-the-door,https://cdn.passiton.com/quotes/images/8472/large_20260612_friday_quote.jpg,When,opportunity
OPPORTUNITY,/inspirational-quotes/6332-opportunity-is-missed-by-most-people-because-it,https://cdn.passiton.com/quotes/images/6332/large_20260611_thursday_quote.jpg,Opportunity,is
OPPORTUNITY,/inspirational-quotes/6208-not-knowing-when-the-dawn-will-come-i-open,https://cdn.passiton.com/quotes/images/6208/large_20260610_wednesday_quote.jpg,Not,knowing
COMPASSION,/inspirational-quotes/4043-compassion-is-the-greatest-form-of-love-humans,https://cdn.passiton.com/quotes/images/4043/large_20260705_friday_quote.jpg,Compassion,is
COMPASSION,/inspirational-quotes/5157-what-do-we-live-for-if-it-is-not-to-make-life,https://cdn.passiton.com/quotes/images/5157/large_20260704_thursday_quote.jpg,What,do
COMPASSION,/inspirational-quotes/8201-compassion-for-others-begins-with-kindness-to,https://cdn.passiton.com/quotes/images/8201/large_20260703_wednesday_quote.jpg,Compassion,for
COMPASSION,/inspirational-quotes/8089-true-compassion-means-not-only-feeling-anothers,https://cdn.passiton.com/quotes/images/8089/large_20260702_tuesday_quote.jpg,True,compassion
COMPASSION,/inspirational-quotes/8088-if-there-is-any-kindness-i-can-show-or-any,https://cdn.passiton.com/quotes/images/8088/large_20260701_monday_quote.jpg,If,there
GIVING BACK,/inspirational-quotes/7159-no-one-has-ever-become-poor-by-giving,https://cdn.passiton.com/quotes/images/7159/large_20260529_friday_quote.jpg,No,one
GIVING BACK,/inspirational-quotes/7046-no-one-is-useless-in-this-world-who-lightens,https://cdn.passiton.com/quotes/images/7046/large_20260528_thursday_quote.jpg,No,one
GIVING BACK,/inspirational-quotes/4692-wherever-there-is-a-human-in-need-there-is-an,https://cdn.passiton.com/quotes/images/4692/large_20260527_wednesday_quote.jpg,Wherever,there
